i,t,open,high,low,close,vol,x_t,mu,h,phi,ell,v2_regime,sigma_t,P_up,P_down,P_zero,k_up,k_down,E_star,dec_dir,m_hat,regime_v1,direction_v1,signal_v1,trend_confidence,signal_strength,s_effective,atr,in_position,T_t,U_basin,grid_idx_t,grid_span,rho_max_above,rho_at_x_t,U_basin_up,U_basin_down,peak_U_up,min_U_up,peak_U_down,min_U_down,mu_dot_post_ema
77,1780430359,1.5042177760038137e-05,1.5042177760038137e-05,1.4683600443134214e-05,1.4683600443134214e-05,0.0,0.050235473049161115,-0.006748640092275703,-8.969440519518937,-0.01339938557498855,0.027785353086035653,2,0.01128004256124338,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,1.3318189518204873,trend,down,none,0.8631014666004925,17163149.75055827,17163149.75055827,2.3279275153626747e-07,0,6.361968009173106e-05,0.0,99,0.9768803413806453,1.0,1.0,0.0,0.0,0.9720272564376611,0.0,0.9719929192326796,0.0,-0.0007193468913054281
78,1780430360,1.4882155324084851e-05,1.505222694791548e-05,1.4882155324084851e-05,1.505222694791548e-05,0.0,0.07462242644642725,0.0033448281357310846,-8.870630270857806,0.006070870235414099,0.028095635927073637,2,0.01185133054496203,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,-0.5707425392475677,trend,up,none,0.7065225959639239,8875275.161751475,8875275.161751475,1.9292107416811697e-07,0,7.022701784297501e-05,0.0,99,1.0263553320583594,1.0,1.0,0.0,0.0,1.0729789175814801,0.0,1.0729410142235345,0.0,0.0003236327199539872
79,1780430361,1.4806218930152399e-05,1.4806218930152399e-05,1.4806218930152399e-05,1.4806218930152399e-05,0.0,0.05829072396439914,-0.0001346093458820722,-8.829650726288548,0.00012971596367892312,0.027856526099415076,0,0.012096666464422421,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,-0.044801788129770724,idle,down,none,0.6081178813536697,1545109.6149470753,1545109.6149470753,8.698759174695575e-08,0,7.316466977574102e-05,3.9488885512370426e-05,99,1.0476020459297106,1.0,1.0,0.0,3.9488885512370426e-05,1.1178229890102938,0.0,1.1178624778958064,0.0,-3.798438332801845e-06
80,1780430362,1.5005594291162825e-05,1.5005594291162825e-05,1.5005594291162825e-05,1.5005594291162825e-05,0.0,0.07163961580262916,0.00018564674303288707,-8.852040976803002,-0.00018704907412441416,0.027431198488695737,0,0.011961997989885006,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,0.056103143280790274,idle,up,none,0.6102112652310427,3466631.6269265255,3466631.6269265255,4.85512878077536e-08,0,7.154469795500646e-05,3.861454435893661e-05,99,1.0359394139258806,1.0,1.0,0.0,3.861454435893661e-05,1.0930727680591652,0.0,1.0931113826035241,0.0,-1.1150605714480206e-05
81,1780430363,1.4991816920495539e-05,1.4991816920495539e-05,1.4763364547735575e-05,1.4763364547735575e-05,0.0,0.05553109991237696,-0.0044383705151627584,-8.884168883975153,-0.008478381128262396,0.027990269653396068,2,0.011771376178499238,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,0.8334114644769672,trend,down,none,0.7550650294857333,16792601.907452404,16792601.907452404,1.4888904097234154e-07,0,6.928264856786966e-05,3.739365715277899e-05,99,1.0194310808083327,1.0,1.0,0.0,3.739365715277899e-05,1.058512770522533,0.0,1.0585501641796855,0.0,-0.00046507783098265806
82,1780430365,1.4943977466307933e-05,1.529012895248053e-05,1.4943977466307933e-05,1.529012895248053e-05,0.0,0.0899142358544711,0.006676065187109304,-8.819115378216534,0.012293147557846277,0.029417519518462075,2,0.012160555886869552,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,-1.1705861151451953,trend,up,none,0.8140612735937277,13188351.930368835,13188351.930368835,2.6627726981936654e-07,0,7.393955973883885e-05,0.0,99,1.0531350322169437,1.0,1.0,0.0,0.0,1.1297018044027143,0.0,1.1296618972888264,0.0,0.00065610224793821
83,1780430367,1.5076483674985494e-05,1.5076483674985494e-05,1.4866244931489182e-05,1.4866244931489182e-05,0.0,0.06232162907981163,-0.003975286287675776,-8.726008606234506,-0.007535816952125602,0.029864424477368243,2,0.012740055109803035,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,0.72947769730892,trend,down,none,0.7266998133687214,9584561.814148244,9584561.814148244,2.2832896634839435e-07,0,8.115450210040921e-05,4.3801206949738375e-05,99,1.1033211370703173,1.0,1.0,0.0,4.3801206949738375e-05,1.239893084839701,0.0,1.239936886046651,0.0,-0.00042536640551486387
84,1780430368,1.4394311239550567e-05,1.4409644950397996e-05,1.4394311239550567e-05,1.4409644950397996e-05,0.0,0.031014215497306263,-0.00043010480714219135,-8.625290092921018,0.0013085452205798486,0.029252843499860005,0,0.013398064182409259,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,-0.2617989805682598,idle,down,none,0.6431020309053783,6000720.644895152,6000720.644895152,1.3088377016399207e-07,0,8.975406191797894e-05,0.0,99,1.1603063943500804,1.0,1.0,0.0,0.0,1.3713271496253316,0.0,1.3712787070110717,0.0,6.990427422484544e-05
85,1780430370,1.406754452594757e-05,1.406754452594757e-05,1.406754452594757e-05,1.406754452594757e-05,0.0,0.007045557717170363,-0.000712429656221307,-8.581641849748094,0.000729267973205476,0.02913586487528067,0,0.013693679200023486,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,-0.19487628149816652,idle,down,none,0.631201446989615,7544245.626108049,7544245.626108049,7.749334704470642e-08,0,9.375842501657793e-05,0.0,99,1.185907405849491,1.0,1.0,0.0,0.0,1.4325086907915103,0.0,1.4324580869177737,0.0,8.852219393262391e-05
86,1780430371,1.4172070358823677e-05,1.4503773753668447e-05,1.4172070358823677e-05,1.4503773753668447e-05,0.0,0.037055382642898455,0.006489774172112192,-8.542503490963005,0.012550518731801215,0.03047893323424243,2,0.013964292468679303,0.0,0.0,0.999999995,0.0,0.0,-1000.0,0,-1.2346621781151117,trend,up,none,0.7956546284569351,16294896.10505542,16294896.10505542,2.2730961341914847e-07,0,9.750073207540676e-05,0.0,99,1.209343202375199,1.0,1.0,0.0,0.0,1.4896863511930676,0.0,1.4896337274983507,0.0,0.0007482537717097417
